37;Vetrya;Azienda;http://www.vetrya.it;"
Vetrya [VTY.MI] è un gruppo italiano leader nello sviluppo di servizi digital, applicazioni e soluzioni cloud. E’ quotato alla Borsa Italiana. Applica l’elevata competenza ed esperienza nel cloud, intelligenza artificiale, big data e internet degli oggetti ad ogni dispositivo connesso alla rete.";Orvieto;Umbria;Media, Telco, ;si, la fornisce;Computer Vision, Elaborazione Linguaggio Naturale, Chatbot, Cognitive Cybersecurity, Cognitive Services ;Fornisco;Utilizzo;Fornisco;Utilizzo;;Fornisco;;;;;Fornisco;Vetrya;Reply;Ibm;Rai;Mediaset;Sky;;;;;;;
38;Comune Rimini;PA;http://www.comune.rimini.it;Comune di Rimini - Istanze Digitali;Rimini;Emilia-Romagna;Pubblica amministrazione territoriale (regionale e locale);si, la usa;Computer Vision, Machine/Deep Learning;Utilizzo;;;;;;;;;;;NO;NO;NO;NO;NO;NO;;;;;;;
39;EntityMind;Startup;http://www.entitymind.com;Startup innovativa che sviluppa sistemi di Intelligenza Adattiva, capaci in teoria di comprendere le cose, di avere una pseudo-coscienza e di usare treni di pensieri per formulare reazioni ragionate.;Modena;Emilia-Romagna;Economia e Finanza / Fintech /Assicurazioni, Educazione, Industria di precisione, Industria pesante, Pubblica amministrazione centrale, Pubblica amministrazione territoriale (regionale e locale), Pubblicità / Marketing, Supporto Help Desk;si, la fornisce;Chatbot, Embodied Cognition;Utilizzo;;Fornisco;;;;;;Utilizzo;;Utilizzo, Fornisco;Expert System Spa;MindIt;Else Corp;Nessuna;Nessuna;Nessuna;;;;;;;
40;Economy Up;Centro di Ricerca;https://www.economyup.it;"Intendo mappare i Digital Innovation Hub e i Competence Center previsti da Impresa 4.0. Obiettivo è capire: le competenze importanti per i lavori del futuro; dove saranno formate queste competenze e attraverso quali percorsi di formazione istruzione; le interazioni utili tra istruzione e impresa ";Milano;Lombardia;Industria 4.0;si, la usa, si, la fornisce;Computer Vision, Machine/Deep Learning, Robotica/Sistemi Autonomi, Sistemi Esperti, IoT;Utilizzo, Fornisco;;Utilizzo, Fornisco;Utilizzo, Fornisco;Utilizzo, Fornisco;;;Utilizzo, Fornisco;Utilizzo, Fornisco;Utilizzo, Fornisco;;il DIH Cicero Hub di Roma ;Il Competence Center dell'Università di Pisa;Il Fab Lab Romamakers a Roma ;Il DIH Cicero Hub a Roma; Il Competence Center dell'Università di Pisa ; Il Fab Lab Romamakers a Roma;;;;;;;
41;Athlos;Azienda;http://www.athlos.biz;Athlos ha sviluppato una propria piattaforma di AI per la gestione dell'interazione uomo-macchina chiamata AIKA.;Cagliari;Sardegna;Pubblica amministrazione territoriale (regionale e locale), Ricerca Applicata / Statistica, Robotica, Salute;si, la usa;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Robotica/Sistemi Autonomi, Chatbot;;;;;;;;;;;;IBM;Google;Istituto Italino di Tecnologia;Istituto Italiano di Tecnologia;IBM;Expert System;;;;;;;
42;INGV;PA;http://www.ingv.it;Centro di ricerca sulle scienze della terra;Roma, Palermo;Lazio, Sicilia;Ambiente, Educazione, Pubblica amministrazione centrale, Ricerca Applicata / Statistica;si, la usa, si, la fornisce;Machine/Deep Learning, Recommender Systems, Sistemi Esperti;;;;;;;;Utilizzo, Fornisco;Utilizzo, Fornisco;;;Protezione civile;Università La Sapienza di Roma;Università di Roma 3;Università di Cosenza;Google;IBM;;;;;;;
43;Domino;Azienda;https://www.domino.it/it;Domino è un’agenzia digitale full-services che si occupa di consulenza, strategia, produzione e manutenzione di progetti interattivi per connettere brand e clienti: più vent’anni di esperienza permettono a Domino di realizzare progetti di comunicazione per imprese, enti, associazioni no profit. ;Torino;Piemonte;Agricoltura, Automotive, Educazione, Energia, Industria pesante, Pubblicità / Marketing, Robotica, Salute, Trasporti, turismo, cultura, no-profit, sport, beauty;si, la usa;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Chatbot;Utilizzo;;;;;;;;;;Utilizzo;FCA;IBM;Consiglio regionale del Veneto;Costa Crociere;Feltrinelli;Nike;;;;;;;
44;SWAP - UniBA;Università;http://www.di.uniba.it/~swap/;"Il gruppo Semantic Web Access and Personalization (SWAP) ""Antonio Bello” del Dip.di Informatica dell'Univ.di Bari conduce ricerche in AI, Machine Learning, Recommender Systems, User Modeling, Semantic & Social Technologies, NLP, IR, IF,  Open Source Intelligence, Open Data & Linked Open Data.";Bari;Puglia;Economia e Finanza / Fintech /Assicurazioni, Pubblica amministrazione centrale, Pubblica amministrazione territoriale (regionale e locale), Pubblicità / Marketing, Ricerca Applicata / Statistica, Robotica, Smart-Cities;si, la usa, si, la fornisce;Elaborazione Linguaggio Naturale, Machine/Deep Learning, Recommender Systems, Robotica/Sistemi Autonomi, Sistemi Esperti, Chatbot;Utilizzo;Utilizzo;;Utilizzo;Utilizzo;Utilizzo;;;;;;QuestionCube;EXPRIVIA-ITALTEL;InnovaPuglia ;CELI;AgID;Reveal;;;;;;;
45;UniOr Napoli;Università;http://www.unior.it;L’Università “L’Orientale” vanta una consolidata tradizione di studi nelle lingue, culture e società dell’Europa, Asia, Africa e Americhe e dispone di un gruppo di ricerca nel campo della linguistica computazionale e del trattamento automatico del linguaggio naturale (resp.: prof. Johanna Monti).;Napoli;Campania;Linguistica computazionale e trattamento automatico del linguaggio naturale;si, la fornisce;Elaborazione Linguaggio Naturale, Chatbot;;;;;;;;;;;Fornisco;Expert System;Translated;FBK;NTT DATA;Babelscape;CELI;;;;;;;
46;ACRDSI (USA);Università;http://www.acrdsi.org;Carlo N. De Cecco, MD, PhD is an Associate Professor of Radiology and Biomedical Informatics at the Emory University in Atlanta. He is the Chief of the Cardiac Radiology Use Case Panel for Artificial Intelligence at the Data Science Institute of the American College of Radiology.;Atlanta, Georgia, USA;Estero;Bioinformatica, Ricerca Applicata / Statistica, Salute;si, la usa;Machine/Deep Learning, Biomedical Imaging;Utilizzo, Fornisco;;;;Utilizzo, Fornisco;;;;;;;Consiglio Nazionale delle Ricerche;BRAINCONTROL;AMIKO;Consiglio Superiore di Sanità;Consiglio Nazionale delle Ricerche;Ministero della Salute;;;;;;;
